ord_id,cust_id,order_date,status_x,currency_x,subtotal,discount_amt,tax_amt,total_amt,coupon_code,first_name,last_name,email,phone,signup_date,order_item_id,prod_id,quantity,unit_price,line_total,name,price,currency_y,stock_qty,vat_rate,pay_id,method,payment_date,amount_paid,currency,status_y,ship_id,ship_address,ship_date,delivery_date,status,tracking_no,discount_pct,valid_from,valid_to,min_order_value,final_price_per_item,order_total_calc,order_year,order_month,order_day_of_week,is_weekend,recency,frequency,monetary,avg_discount,avg_items,category_E-Reader,category_Headphones,category_Laptop,category_Mobile,category_Tablet,category_Wearable,brand_Apple,brand_Dell,brand_Fitbit,brand_Google,brand_JBL,brand_Logitech,brand_Microsoft,brand_Samsung,brand_Sony,"location_Bangalore, Karnataka","location_Bhubaneswar, Odisha","location_Chennai, Tamil Nadu","location_Delhi, Delhi","location_Hyderabad, Telangana","location_Jaipur, Rajasthan","location_Kochi, Kerala","location_Kolkata, West Bengal","location_Lucknow, Uttar Pradesh","location_Mumbai, Maharashtra","location_Patna, Bihar","location_Pune, Maharashtra"
ORD1001,CUST1001,2025-09-12 10:12:00,Shipped,INR,120000.0,12000.0,17280.0,129280.0,NEWUSER10,Subham,Padhi,subham@example.com,9876543210,2025-09-01,OI1001,PROD1001,1,120000.0,120000.0,iPhone 15,120000.0,INR,50,18.0,PAY1001,Credit Card,2025-09-12 10:30:00,129280.0,INR,Paid,SHIP1001,"Bhubaneswar, Odisha",2025-09-13,2025-09-16,In Transit,TRACK12345,10.0,2025-09-01,2025-12-31,5000.0,120000.0,160000.0,2025,9,Friday,0,4,2,258560.0,12000.0,1.5,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ORD1001,CUST1001,2025-09-12 10:12:00,Shipped,INR,120000.0,12000.0,17280.0,129280.0,NEWUSER10,Subham,Padhi,subham@example.com,9876543210,2025-09-01,OI1002,PROD1003,2,20000.0,40000.0,AirPods Pro,20000.0,INR,100,18.0,PAY1001,Credit Card,2025-09-12 10:30:00,129280.0,INR,Paid,SHIP1001,"Bhubaneswar, Odisha",2025-09-13,2025-09-16,In Transit,TRACK12345,10.0,2025-09-01,2025-12-31,5000.0,20000.0,160000.0,2025,9,Friday,0,4,2,258560.0,12000.0,1.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
ORD1002,CUST1002,2025-09-12 13:30:00,Pending,INR,25000.0,0.0,4500.0,29500.0,No Coupon,Rahul,Sharma,rahul@example.com,9123456789,2025-09-05,OI1003,PROD1003,1,20000.0,20000.0,AirPods Pro,20000.0,INR,100,18.0,PAY1002,UPI,2025-09-12 14:00:00,29500.0,INR,Pending,SHIP1002,"Delhi, Delhi",2025-09-13,2025-09-15,Pending,TRACK54321,0.0,,,,20000.0,24500.0,2025,9,Friday,0,4,2,59000.0,0.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
ORD1002,CUST1002,2025-09-12 13:30:00,Pending,INR,25000.0,0.0,4500.0,29500.0,No Coupon,Rahul,Sharma,rahul@example.com,9123456789,2025-09-05,OI1004,PROD1007,1,4500.0,4500.0,Gaming Mouse,4500.0,INR,200,18.0,PAY1002,UPI,2025-09-12 14:00:00,29500.0,INR,Pending,SHIP1002,"Delhi, Delhi",2025-09-13,2025-09-15,Pending,TRACK54321,0.0,,,,4500.0,24500.0,2025,9,Friday,0,4,2,59000.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
ORD1003,CUST1003,2025-09-12 15:00:00,Delivered,INR,150000.0,30000.0,21600.0,141600.0,FESTIVE20,Anita,Verma,anita@example.com,9988776655,2025-09-10,OI1005,PROD1010,1,200000.0,200000.0,MacBook Pro,200000.0,INR,15,12.0,PAY1003,Debit Card,2025-09-12 16:00:00,141600.0,INR,Paid,SHIP1003,"Mumbai, Maharashtra",2025-09-13,2025-09-15,Delivered,TRACK67890,20.0,2025-09-10,2025-10-30,10000.0,200000.0,290000.0,2025,9,Friday,0,4,2,283200.0,30000.0,1.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
ORD1003,CUST1003,2025-09-12 15:00:00,Delivered,INR,150000.0,30000.0,21600.0,141600.0,FESTIVE20,Anita,Verma,anita@example.com,9988776655,2025-09-10,OI1006,PROD1004,1,90000.0,90000.0,Samsung Galaxy S23,90000.0,INR,40,18.0,PAY1003,Debit Card,2025-09-12 16:00:00,141600.0,INR,Paid,SHIP1003,"Mumbai, Maharashtra",2025-09-13,2025-09-15,Delivered,TRACK67890,20.0,2025-09-10,2025-10-30,10000.0,90000.0,290000.0,2025,9,Friday,0,4,2,283200.0,30000.0,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
ORD1004,CUST1004,2025-09-12 17:20:00,Pending,INR,40000.0,6000.0,4896.0,38896.0,SAVE15,Priya,Nair,priya@example.com,9812345678,2025-09-01,OI1007,PROD1005,1,35000.0,35000.0,Sony WH-1000XM5,35000.0,INR,60,18.0,PAY1004,UPI,2025-09-12 18:10:00,38896.0,INR,Pending,SHIP1004,"Kochi, Kerala",2025-09-13,2025-09-18,Pending,TRACK23456,15.0,2025-09-01,2025-10-15,8000.0,35000.0,48500.0,2025,9,Friday,0,4,2,77792.0,6000.0,2.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
ORD1004,CUST1004,2025-09-12 17:20:00,Pending,INR,40000.0,6000.0,4896.0,38896.0,SAVE15,Priya,Nair,priya@example.com,9812345678,2025-09-01,OI1021,PROD1007,3,4500.0,13500.0,Gaming Mouse,4500.0,INR,200,18.0,PAY1004,UPI,2025-09-12 18:10:00,38896.0,INR,Pending,SHIP1004,"Kochi, Kerala",2025-09-13,2025-09-18,Pending,TRACK23456,15.0,2025-09-01,2025-10-15,8000.0,4500.0,48500.0,2025,9,Friday,0,4,2,77792.0,6000.0,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
ORD1005,CUST1005,2025-09-13 09:00:00,Shipped,INR,70000.0,0.0,8400.0,78400.0,No Coupon,Amit,Kumar,amit@example.com,9811122233,2025-09-02,OI1008,PROD1006,1,60000.0,60000.0,iPad Air,60000.0,INR,25,12.0,PAY1005,Credit Card,2025-09-13 10:15:00,78400.0,INR,Paid,SHIP1005,"Patna, Bihar",2025-09-13,2025-09-16,In Transit,TRACK34567,0.0,,,,60000.0,80000.0,2025,9,Saturday,1,3,2,156800.0,0.0,1.0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
ORD1005,CUST1005,2025-09-13 09:00:00,Shipped,INR,70000.0,0.0,8400.0,78400.0,No Coupon,Amit,Kumar,amit@example.com,9811122233,2025-09-02,OI1020,PROD1003,1,20000.0,20000.0,AirPods Pro,20000.0,INR,100,18.0,PAY1005,Credit Card,2025-09-13 10:15:00,78400.0,INR,Paid,SHIP1005,"Patna, Bihar",2025-09-13,2025-09-16,In Transit,TRACK34567,0.0,,,,20000.0,80000.0,2025,9,Saturday,1,3,2,156800.0,0.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
